,close_price,position,action
2958,518.630005,HALF-LONG,HALF-LONG
2959,518.630005,HALF-LONG,HOLD
2960,518.630005,HALF-LONG,HOLD
2961,516.950012,HALF-LONG,HOLD
2962,516.950012,HALF-LONG,HOLD
2963,516.950012,HALF-LONG,HOLD
2964,514.419983,HALF-LONG,HOLD
2965,514.419983,HALF-LONG,HOLD
2966,514.419983,HALF-LONG,HOLD
2967,529.75,HALF-LONG,HOLD
2968,529.75,HALF-LONG,HOLD
2969,529.75,HALF-LONG,HOLD
2970,519.369995,HALF-LONG,HOLD
2971,519.369995,HALF-LONG,HOLD
2972,519.369995,HALF-LONG,HOLD
2973,533.450012,HALF-LONG,HOLD
2974,533.450012,HALF-LONG,HOLD
2975,533.450012,HALF-LONG,HOLD
2976,519.469971,FLAT,SELL
2977,519.469971,FLAT,HOLD
2978,519.469971,FLAT,HOLD
2979,522.460022,FLAT,HOLD
2980,522.460022,FLAT,HOLD
2981,522.460022,FLAT,HOLD
2982,521.409973,FLAT,HOLD
2983,521.409973,FLAT,HOLD
2984,521.409973,FLAT,HOLD
2985,529.469971,FLAT,HOLD
2986,529.469971,FLAT,HOLD
2987,529.469971,FLAT,HOLD
2988,531.590027,FULL-LONG,BUY
2989,531.590027,FLAT,SELL
2990,531.590027,FULL-LONG,BUY
2991,534.609985,FULL-LONG,HOLD
2992,534.609985,FULL-LONG,HOLD
2993,534.609985,FULL-LONG,HOLD
2994,541.48999,FULL-LONG,HOLD
2995,541.48999,FULL-LONG,HOLD
2996,541.48999,FULL-LONG,HOLD
2997,542.340027,HALF-LONG,SELL
2998,542.340027,HALF-LONG,HOLD
2999,542.340027,HALF-LONG,HOLD
3000,535.380005,FULL-LONG,BUY
3001,535.380005,FULL-LONG,HOLD
3002,535.380005,FULL-LONG,HOLD
3003,535.460022,HALF-LONG,SELL
3004,535.460022,HALF-LONG,HOLD
3005,535.460022,HALF-LONG,HOLD
3006,540.650024,FULL-LONG,BUY
3007,540.650024,HALF-LONG,SELL
3008,540.650024,FULL-LONG,BUY
3009,533.75,HALF-LONG,SELL
3010,533.75,HALF-LONG,HOLD
3011,533.75,HALF-LONG,HOLD
3012,537.26001,FULL-LONG,BUY
3013,537.26001,HALF-LONG,SELL
3014,537.26001,FULL-LONG,BUY
3015,537.719971,HALF-LONG,SELL
3016,537.719971,FULL-LONG,BUY
3017,537.719971,HALF-LONG,SELL
3018,532.859985,FLAT,SELL
3019,532.859985,HALF-LONG,BUY
3020,532.859985,FLAT,SELL
3021,543.700012,HALF-LONG,BUY
3022,543.700012,FULL-LONG,BUY
3023,543.700012,HALF-LONG,SELL
3024,544.640015,FULL-LONG,BUY
3025,544.640015,HALF-LONG,SELL
3026,544.640015,FULL-LONG,BUY
3027,546.119995,HALF-LONG,SELL
3028,546.119995,FULL-LONG,BUY
3029,546.119995,HALF-LONG,SELL
3030,545.0,HALF-LONG,HOLD
3031,545.0,HALF-LONG,HOLD
3032,545.0,HALF-LONG,HOLD
3033,545.219971,FLAT,SELL
3034,545.219971,FLAT,HOLD
3035,545.219971,FLAT,HOLD
3036,548.320007,FLAT,HOLD
3037,548.320007,FLAT,HOLD
3038,548.320007,FLAT,HOLD
3039,544.570007,HALF-LONG,BUY
3040,544.570007,FULL-LONG,BUY
3041,544.570007,FLAT,SELL
3042,527.51001,HALF-LONG,BUY
3043,527.51001,FLAT,SELL
3044,527.51001,HALF-LONG,BUY
3045,524.340027,FLAT,SELL
3046,524.340027,HALF-LONG,BUY
3047,524.340027,FLAT,SELL
3048,531.25,FLAT,HOLD
3049,531.25,FLAT,HOLD
3050,531.25,FLAT,HOLD
3051,523.169983,HALF-LONG,BUY
3052,523.169983,FLAT,SELL
3053,523.169983,HALF-LONG,BUY
3054,527.070007,FLAT,SELL
3055,527.070007,FLAT,HOLD
3056,527.070007,FLAT,HOLD
3057,519.130005,HALF-LONG,BUY
3058,519.130005,HALF-LONG,HOLD
3059,519.130005,HALF-LONG,HOLD
3060,513.130005,HALF-LONG,HOLD
3061,513.130005,HALF-LONG,HOLD
3062,513.130005,HALF-LONG,HOLD
3063,521.880005,FLAT,SELL
3064,521.880005,FLAT,HOLD
